id,year,month,day,hour,minute,second,sensor1,sensor2
0,2016,11,7,10,45,58,86.0,NaN
1,2016,11,7,10,45,58,87.0,25.75
2,2016,11,7,10,45,58,88.0,25.75
3,2016,11,7,10,45,58,89.0,25.75
4,2016,11,7,10,45,58,89.0,25.75
5,2016,11,7,10,45,58,89.0,25.75
6,2016,11,7,10,45,58,88.0,25.75
7,2016,11,7,10,45,58,88.0,25.75
8,2016,11,7,10,45,58,89.0,25.75
9,2016,11,7,10,45,58,90.0,25.75
10,2016,11,7,10,46,1,86.0,25.75
11,2016,11,7,10,46,2,86.0,25.69
12,2016,11,7,10,46,3,86.0,25.75
13,2016,11,7,10,46,3,87.0,25.75
14,2016,11,7,10,46,4,88.0,25.75
15,2016,11,7,10,46,4,89.0,25.75
16,2016,11,7,10,46,5,89.0,25.75
17,2016,11,7,10,46,6,89.0,25.75
18,2016,11,7,10,46,6,90.0,25.69
19,2016,11,7,10,46,7,91.0,25.75
20,2016,11,7,10,46,8,91.0,25.69
21,2016,11,7,10,46,8,92.0,25.69
22,2016,11,7,10,46,9,92.0,25.75
23,2016,11,7,10,46,10,91.0,25.75
24,2016,11,7,10,46,10,90.0,25.75
25,2016,11,7,10,46,11,90.0,25.75
26,2016,11,7,10,46,12,91.0,25.75
27,2016,11,7,10,46,12,91.0,25.75
28,2016,11,7,10,46,13,92.0,25.75
29,2016,11,7,10,46,14,93.0,25.75
30,2016,11,7,10,46,14,94.0,25.75
31,2016,11,7,10,46,15,94.0,25.75
32,2016,11,7,10,46,15,94.0,25.75
33,2016,11,7,10,46,16,94.0,25.75
34,2016,11,7,10,46,17,92.0,25.69
35,2016,11,7,10,46,18,88.0,25.75
36,2016,11,7,10,46,19,84.0,25.75
37,2016,11,7,10,46,20,82.0,25.69
38,2016,11,7,10,46,20,80.0,25.69
39,2016,11,7,10,46,21,80.0,25.69
40,2016,11,7,10,46,22,79.0,25.75
41,2016,11,7,10,46,22,80.0,25.75
42,2016,11,7,10,46,23,81.0,25.69
43,2016,11,7,10,46,23,83.0,25.75
44,2016,11,7,10,46,24,86.0,25.75
45,2016,11,7,10,46,25,90.0,25.69
46,2016,11,7,10,46,25,95.0,25.69
47,2016,11,7,10,46,26,98.0,25.69
48,2016,11,7,10,46,26,99.0,25.69
49,2016,11,7,10,46,27,100.0,25.69
50,2016,11,7,10,46,28,100.0,25.69
51,2016,11,7,10,46,28,100.0,25.69
52,2016,11,7,10,46,29,99.0,25.69
53,2016,11,7,10,46,29,99.0,25.69
54,2016,11,7,10,46,30,98.0,25.69
55,2016,11,7,10,46,31,98.0,25.69
56,2016,11,7,10,46,31,97.0,25.69
57,2016,11,7,10,46,32,96.0,25.69
58,2016,11,7,10,46,33,95.0,25.69
59,2016,11,7,10,46,33,94.0,25.62
60,2016,11,7,10,46,34,93.0,25.62
61,2016,11,7,10,46,35,91.0,25.62
62,2016,11,7,10,46,36,90.0,25.69
63,2016,11,7,10,46,36,89.0,25.69
64,2016,11,7,10,46,37,88.0,25.69
65,2016,11,7,10,46,37,88.0,25.62
66,2016,11,7,10,46,38,88.0,25.62
67,2016,11,7,10,46,39,89.0,25.62
68,2016,11,7,10,46,39,90.0,25.69
69,2016,11,7,10,46,40,91.0,25.69
70,2016,11,7,10,46,41,92.0,25.62
71,2016,11,7,10,46,41,93.0,25.62
72,2016,11,7,10,46,42,93.0,25.62
73,2016,11,7,10,46,43,92.0,25.62
74,2016,11,7,10,46,43,92.0,25.62
75,2016,11,7,10,46,44,93.0,25.69
76,2016,11,7,10,46,45,93.0,25.62
77,2016,11,7,10,46,45,93.0,25.62
78,2016,11,7,10,46,46,93.0,25.62
79,2016,11,7,10,46,46,93.0,25.62
80,2016,11,7,10,46,47,94.0,25.62
81,2016,11,7,10,46,48,94.0,25.62
82,2016,11,7,10,46,48,95.0,25.62
83,2016,11,7,10,46,49,96.0,25.62
84,2016,11,7,10,46,50,96.0,25.62
85,2016,11,7,10,46,50,96.0,25.62
86,2016,11,7,10,46,51,97.0,25.62
87,2016,11,7,10,46,51,96.0,25.62
88,2016,11,7,10,46,52,97.0,25.62
89,2016,11,7,10,46,53,97.0,25.62
90,2016,11,7,10,46,53,97.0,25.56
91,2016,11,7,10,46,54,98.0,25.56
92,2016,11,7,10,46,54,98.0,25.56
93,2016,11,7,10,46,55,99.0,25.56
94,2016,11,7,10,46,56,100.0,25.56
95,2016,11,7,10,46,56,101.0,25.62
96,2016,11,7,10,46,57,102.0,25.62
97,2016,11,7,10,46,57,102.0,25.62
98,2016,11,7,10,46,58,103.0,25.56
99,2016,11,7,10,46,58,103.0,25.56
100,2016,11,7,10,46,59,103.0,25.62
101,2016,11,7,10,47,0,103.0,25.62
102,2016,11,7,10,47,0,102.0,25.56
103,2016,11,7,10,47,1,100.0,25.56
104,2016,11,7,10,47,2,98.0,25.56
105,2016,11,7,10,47,2,96.0,25.56
106,2016,11,7,10,47,3,93.0,25.56
107,2016,11,7,10,47,4,92.0,25.56
108,2016,11,7,10,47,4,91.0,25.56
109,2016,11,7,10,47,5,89.0,25.56
110,2016,11,7,10,47,6,89.0,25.5
111,2016,11,7,10,47,6,90.0,25.56
112,2016,11,7,10,47,7,91.0,25.56
113,2016,11,7,10,47,7,92.0,25.56
114,2016,11,7,10,47,8,94.0,25.5
115,2016,11,7,10,47,9,95.0,25.56
116,2016,11,7,10,47,9,95.0,25.56
117,2016,11,7,10,47,10,95.0,25.56
118,2016,11,7,10,47,11,93.0,25.56
119,2016,11,7,10,47,12,92.0,25.56
120,2016,11,7,10,47,12,90.0,25.56
121,2016,11,7,10,47,13,88.0,25.56
122,2016,11,7,10,47,14,86.0,25.56
123,2016,11,7,10,47,14,84.0,25.56
124,2016,11,7,10,47,15,83.0,25.56
